,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
184,-116.32,33.28,19.0,1791.0,367.0,327.0,185.0,3.3625,100000.0
186,-116.33,33.75,5.0,19107.0,3923.0,2880.0,1376.0,4.036,158500.0
187,-116.33,33.72,11.0,12327.0,2000.0,2450.0,1139.0,7.4382,353100.0
190,-116.35,32.74,16.0,2595.0,606.0,1046.0,367.0,1.7137,110700.0
191,-116.36,33.88,11.0,12557.0,3098.0,2453.0,1232.0,1.7844,78500.0
192,-116.37,33.72,17.0,8626.0,1859.0,3497.0,1337.0,3.312,121300.0
193,-116.37,33.69,7.0,8806.0,1542.0,858.0,448.0,7.8005,318100.0
194,-116.37,33.19,12.0,4890.0,1152.0,1289.0,570.0,2.5795,98700.0
196,-116.38,34.1,6.0,2104.0,348.0,841.0,320.0,4.1458,116300.0
197,-116.38,33.74,7.0,17579.0,3479.0,3581.0,1820.0,4.084,194500.0
198,-116.38,33.73,10.0,11836.0,2405.0,3811.0,1570.0,4.0079,134500.0
199,-116.38,33.71,17.0,12509.0,2460.0,2737.0,1423.0,4.5556,258100.0
200,-116.39,34.15,15.0,5583.0,1149.0,2709.0,964.0,1.9779,73300.0
201,-116.39,33.82,15.0,11115.0,2257.0,4122.0,1653.0,2.7219,74400.0
202,-116.39,33.72,19.0,7646.0,1618.0,2496.0,1075.0,3.5569,128000.0
203,-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,6.9833,238800.0
204,-116.4,34.12,16.0,5648.0,1089.0,2524.0,1008.0,2.6739,78000.0
205,-116.4,34.09,9.0,4855.0,872.0,2098.0,765.0,3.2723,97800.0
206,-116.4,33.78,8.0,3059.0,500.0,612.0,208.0,6.8729,259200.0
208,-116.41,33.74,17.0,4289.0,893.0,958.0,440.0,2.4659,177800.0
209,-116.42,33.79,12.0,7095.0,1260.0,1179.0,570.0,4.9444,285000.0
210,-116.42,33.76,14.0,16921.0,2837.0,2524.0,1262.0,7.6281,341700.0
211,-116.42,33.68,15.0,3895.0,782.0,900.0,529.0,2.2208,138300.0
213,-116.43,34.1,17.0,6683.0,1296.0,2677.0,1227.0,2.4828,84000.0
214,-116.43,33.81,8.0,6710.0,1343.0,2069.0,781.0,3.5223,115100.0
216,-116.44,34.16,19.0,1867.0,361.0,758.0,321.0,2.8929,98100.0
217,-116.44,34.12,18.0,5584.0,1303.0,2250.0,1158.0,1.5823,72400.0
218,-116.44,33.93,17.0,5293.0,1266.0,1201.0,599.0,1.6849,88400.0
219,-116.44,33.77,18.0,4872.0,1110.0,955.0,656.0,2.2439,97500.0
220,-116.44,33.74,5.0,846.0,249.0,117.0,67.0,7.9885,403300.0
221,-116.45,33.8,9.0,5534.0,1206.0,2283.0,1008.0,3.6161,99100.0
222,-116.45,33.78,16.0,5228.0,992.0,1177.0,639.0,3.0859,134600.0
224,-116.46,33.82,6.0,4863.0,920.0,3010.0,828.0,3.9508,104200.0
227,-116.47,33.94,18.0,2233.0,471.0,919.0,388.0,3.2578,85200.0
228,-116.47,33.84,3.0,9169.0,1512.0,3838.0,1270.0,4.3111,142500.0
229,-116.47,33.81,7.0,10105.0,2481.0,6274.0,2095.0,2.4497,90900.0
231,-116.48,33.94,10.0,3254.0,913.0,923.0,486.0,1.8,81000.0
232,-116.48,33.79,14.0,9425.0,2020.0,1711.0,1000.0,2.6298,145200.0
233,-116.48,33.61,8.0,1294.0,272.0,457.0,199.0,2.9167,115300.0
235,-116.49,33.8,13.0,8789.0,1875.0,1274.0,688.0,3.7396,148900.0
236,-116.5,33.98,5.0,4332.0,868.0,1420.0,567.0,4.0417,146400.0
238,-116.5,33.82,16.0,343.0,85.0,29.0,14.0,2.1042,87500.0
246,-116.52,33.97,13.0,3921.0,754.0,1902.0,665.0,3.3616,89600.0
247,-116.52,33.85,13.0,7559.0,1444.0,3189.0,1105.0,3.4886,112500.0
248,-116.52,33.84,17.0,4465.0,859.0,853.0,445.0,3.6875,130400.0
250,-116.52,32.9,18.0,4454.0,852.0,1754.0,656.0,4.57,189900.0
252,-116.53,33.88,5.0,4423.0,763.0,1906.0,667.0,4.6855,125200.0
253,-116.53,33.85,16.0,10077.0,2186.0,3048.0,1337.0,2.9647,110900.0
255,-116.53,33.78,18.0,2547.0,463.0,411.0,214.0,2.5489,220500.0
259,-116.54,33.79,18.0,9374.0,1780.0,1678.0,919.0,3.9737,235600.0
263,-116.56,33.05,15.0,1985.0,361.0,536.0,209.0,4.125,148200.0
267,-116.57,33.84,18.0,7962.0,1652.0,2009.0,921.0,3.3897,230200.0
268,-116.57,33.64,10.0,489.0,82.0,183.0,74.0,6.2702,345500.0
269,-116.58,32.69,19.0,4085.0,876.0,2133.0,718.0,2.919,116500.0
270,-116.6,33.49,16.0,3730.0,827.0,1346.0,592.0,2.183,113500.0
272,-116.61,33.04,11.0,2522.0,538.0,616.0,269.0,3.875,198100.0
274,-116.62,32.86,18.0,4115.0,847.0,2032.0,745.0,4.0159,169100.0
275,-116.66,32.79,13.0,843.0,157.0,918.0,152.0,6.2152,240600.0
276,-116.67,32.97,16.0,349.0,74.0,120.0,43.0,5.359,193800.0
280,-116.72,34.89,14.0,4527.0,875.0,1640.0,590.0,2.8594,81700.0
281,-116.72,33.56,13.0,3166.0,682.0,1250.0,475.0,2.355,122900.0
282,-116.74,33.62,11.0,2385.0,661.0,682.0,242.0,2.9141,214300.0
283,-116.74,33.33,17.0,4190.0,946.0,1802.0,673.0,2.4744,158200.0
284,-116.75,33.83,16.0,5277.0,1070.0,657.0,276.0,3.3333,143400.0
285,-116.75,32.85,17.0,4863.0,845.0,2266.0,769.0,4.2321,217400.0
286,-116.75,32.82,17.0,3348.0,481.0,1222.0,443.0,6.6361,308600.0
287,-116.76,34.29,14.0,3959.0,849.0,1064.0,376.0,2.8214,111400.0
289,-116.76,33.46,6.0,1251.0,268.0,544.0,216.0,3.0694,173400.0
290,-116.76,32.84,16.0,3311.0,702.0,1627.0,624.0,3.1196,187200.0
291,-116.76,32.74,14.0,4085.0,751.0,2129.0,688.0,4.7367,214500.0
293,-116.78,33.0,7.0,12480.0,1946.0,5102.0,1697.0,5.5102,221000.0
294,-116.79,33.99,16.0,319.0,68.0,212.0,67.0,1.4688,90000.0
295,-116.79,32.84,12.0,4281.0,786.0,1891.0,721.0,3.5769,231800.0
296,-116.79,32.61,19.0,2652.0,520.0,1421.0,491.0,3.5227,206100.0
298,-116.8,32.8,11.0,3874.0,565.0,1672.0,546.0,6.1481,274600.0
299,-116.82,34.24,11.0,5799.0,1527.0,713.0,262.0,2.5147,84700.0
300,-116.83,34.25,15.0,8948.0,1985.0,1316.0,514.0,2.7375,90800.0
301,-116.83,32.83,6.0,3123.0,495.0,1513.0,480.0,5.4288,167800.0
302,-116.84,33.01,5.0,5673.0,855.0,2592.0,797.0,5.4155,199200.0
304,-116.84,32.86,16.0,2502.0,532.0,1211.0,494.0,3.2516,202100.0
306,-116.85,34.25,5.0,5806.0,1030.0,569.0,219.0,4.0132,163100.0
307,-116.85,32.83,17.0,4234.0,770.0,2191.0,725.0,3.6445,197600.0
308,-116.86,34.23,13.0,4760.0,938.0,309.0,132.0,5.4618,147800.0
310,-116.86,33.84,18.0,521.0,118.0,174.0,74.0,2.7788,91100.0
311,-116.86,33.73,13.0,2604.0,443.0,978.0,417.0,2.933,170700.0
312,-116.86,33.05,17.0,9044.0,1689.0,5030.0,1596.0,3.6348,164500.0
313,-116.86,33.02,17.0,401.0,68.0,251.0,69.0,4.6518,170200.0
314,-116.86,32.87,17.0,5799.0,921.0,2630.0,843.0,5.0524,285400.0
315,-116.86,32.8,19.0,1747.0,291.0,848.0,290.0,4.875,187200.0
318,-116.87,33.76,5.0,4116.0,761.0,1714.0,717.0,2.5612,130800.0
319,-116.87,33.57,12.0,1153.0,265.0,446.0,195.0,3.038,128100.0
320,-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,248900.0
321,-116.87,32.72,13.0,3268.0,491.0,1431.0,503.0,5.7652,259900.0
322,-116.88,34.25,11.0,1089.0,198.0,230.0,90.0,4.9643,176000.0
323,-116.88,34.24,13.0,4137.0,796.0,573.0,218.0,4.6394,226500.0
328,-116.88,33.05,11.0,7217.0,1583.0,4197.0,1502.0,2.8827,166700.0
329,-116.88,33.02,16.0,3204.0,541.0,1818.0,529.0,5.2596,171500.0
330,-116.88,32.86,9.0,3049.0,471.0,1527.0,515.0,5.0733,196600.0
332,-116.89,33.92,10.0,2653.0,621.0,1967.0,598.0,2.6643,81000.0
333,-116.89,33.86,2.0,6900.0,1238.0,1950.0,980.0,3.0417,146300.0
335,-116.89,33.48,14.0,1016.0,219.0,443.0,169.0,2.8071,137500.0
336,-116.89,32.99,14.0,2816.0,501.0,1448.0,452.0,5.0278,210900.0
337,-116.89,32.85,16.0,1743.0,333.0,652.0,322.0,2.8906,158300.0
338,-116.89,32.85,15.0,3560.0,593.0,1757.0,574.0,5.1185,185300.0
339,-116.89,32.67,9.0,2652.0,393.0,1355.0,362.0,6.2578,293100.0
342,-116.9,34.25,16.0,3018.0,523.0,556.0,244.0,3.5288,189700.0
345,-116.9,33.74,14.0,2281.0,426.0,894.0,430.0,2.3712,127900.0
346,-116.9,33.65,15.0,652.0,149.0,248.0,97.0,2.1071,93800.0
347,-116.9,33.22,11.0,4132.0,773.0,2012.0,703.0,3.1906,234500.0
348,-116.9,33.03,11.0,3213.0,634.0,1975.0,579.0,3.475,167200.0
349,-116.9,32.9,19.0,3090.0,552.0,1621.0,520.0,4.0806,189200.0
350,-116.9,32.84,18.0,4215.0,810.0,2104.0,773.0,4.0873,146900.0
351,-116.9,32.84,18.0,3612.0,737.0,1864.0,713.0,2.7069,153800.0
353,-116.9,32.77,8.0,3600.0,492.0,1421.0,482.0,6.2609,307100.0
354,-116.91,34.0,18.0,553.0,100.0,215.0,82.0,5.5,193800.0
355,-116.91,33.75,13.0,10886.0,2127.0,4266.0,1955.0,2.3169,123400.0
356,-116.91,33.71,19.0,6807.0,1164.0,2703.0,1055.0,3.1591,189700.0
357,-116.91,32.87,14.0,3048.0,597.0,1690.0,576.0,4.3818,147100.0
358,-116.91,32.86,15.0,3153.0,628.0,1633.0,527.0,3.6898,131000.0
359,-116.91,32.86,10.0,3699.0,838.0,2310.0,759.0,2.5365,139500.0
361,-116.91,32.83,16.0,5203.0,898.0,2515.0,862.0,4.105,174400.0
362,-116.91,32.82,14.0,1978.0,424.0,1085.0,387.0,3.8073,170100.0
365,-116.91,32.78,15.0,4058.0,511.0,1580.0,473.0,7.5,316400.0
366,-116.91,32.73,8.0,4630.0,624.0,2048.0,575.0,6.4745,300300.0
367,-116.92,33.63,18.0,397.0,89.0,239.0,80.0,2.8125,143800.0
369,-116.92,32.84,16.0,4675.0,834.0,2188.0,817.0,4.6674,178000.0
371,-116.92,32.82,17.0,2492.0,494.0,1278.0,439.0,2.8875,155700.0
372,-116.92,32.82,16.0,2784.0,468.0,1458.0,465.0,4.0048,184600.0
375,-116.92,32.76,9.0,1859.0,307.0,947.0,304.0,5.9202,181300.0
376,-116.93,33.93,13.0,7804.0,1594.0,3297.0,1469.0,2.0549,95600.0
377,-116.93,33.75,14.0,6027.0,1148.0,3136.0,1036.0,2.964,121500.0
378,-116.93,33.74,15.0,3757.0,666.0,1693.0,654.0,3.6806,112800.0
379,-116.93,33.06,16.0,3490.0,545.0,1628.0,535.0,4.8836,239900.0
380,-116.93,32.87,17.0,3722.0,670.0,1561.0,604.0,3.6027,211900.0
381,-116.93,32.85,5.0,4116.0,990.0,2770.0,905.0,3.1142,150000.0
382,-116.93,32.85,15.0,3273.0,895.0,1872.0,842.0,2.5388,119000.0
385,-116.93,32.81,18.0,2447.0,466.0,1573.0,472.0,2.6429,125400.0
387,-116.93,32.79,19.0,3354.0,699.0,1948.0,682.0,3.0192,142300.0
390,-116.94,33.77,14.0,7240.0,1410.0,2708.0,1240.0,2.4145,137600.0
391,-116.94,33.74,19.0,2901.0,445.0,1414.0,475.0,4.6406,118900.0
392,-116.94,33.73,17.0,5160.0,851.0,2344.0,781.0,3.7175,120000.0
400,-116.94,32.78,17.0,13559.0,2656.0,6990.0,2533.0,3.434,193200.0
401,-116.94,32.75,4.0,14934.0,2479.0,6945.0,2418.0,5.1221,229700.0
402,-116.95,33.97,14.0,5320.0,974.0,1947.0,843.0,3.1393,116300.0
403,-116.95,33.79,8.0,10997.0,2205.0,5060.0,1949.0,2.1979,95300.0
405,-116.95,33.76,10.0,6890.0,1702.0,3141.0,1451.0,1.7079,95900.0
407,-116.95,33.75,19.0,2238.0,573.0,1190.0,507.0,2.0714,85800.0
409,-116.95,33.74,18.0,1996.0,405.0,1270.0,400.0,2.7083,91200.0
411,-116.95,33.68,11.0,1183.0,178.0,543.0,147.0,4.4792,173900.0
412,-116.95,33.31,16.0,2921.0,639.0,1838.0,540.0,2.2393,117000.0
413,-116.95,32.96,18.0,2087.0,353.0,992.0,329.0,4.5,222600.0
415,-116.95,32.83,14.0,12517.0,2506.0,6389.0,2333.0,3.3081,168700.0
416,-116.95,32.82,18.0,3038.0,592.0,1904.0,595.0,3.8024,144900.0
417,-116.95,32.82,12.0,5535.0,1434.0,3112.0,1262.0,2.5949,108300.0
419,-116.95,32.81,15.0,2619.0,599.0,1513.0,537.0,2.543,100000.0
420,-116.95,32.79,19.0,11391.0,3093.0,7178.0,2905.0,2.0326,123200.0
424,-116.95,32.76,13.0,5543.0,857.0,2074.0,737.0,4.9528,266200.0
425,-116.95,32.73,17.0,1635.0,272.0,960.0,279.0,5.2671,157100.0
431,-116.96,33.74,19.0,3649.0,755.0,1717.0,696.0,2.2115,87600.0
433,-116.96,32.9,16.0,3047.0,495.0,1507.0,499.0,5.3008,186500.0
434,-116.96,32.87,17.0,4713.0,740.0,2531.0,723.0,4.8286,158500.0
435,-116.96,32.86,14.0,3064.0,496.0,1681.0,503.0,4.4347,160300.0
436,-116.96,32.85,11.0,9724.0,1796.0,5247.0,1777.0,4.1716,166100.0
437,-116.96,32.81,8.0,2378.0,638.0,1410.0,623.0,2.9097,152500.0
439,-116.96,32.8,19.0,4574.0,1152.0,3045.0,1057.0,2.065,124100.0
440,-116.96,32.8,16.0,3920.0,1094.0,2612.0,1023.0,1.3291,120800.0
442,-116.96,32.79,19.0,3008.0,693.0,2341.0,689.0,2.6087,123800.0
443,-116.96,32.79,17.0,5236.0,1325.0,3308.0,1233.0,2.3221,138800.0
445,-116.97,33.96,12.0,5876.0,1222.0,2992.0,1151.0,2.4322,112100.0
451,-116.97,33.13,10.0,5149.0,851.0,2177.0,783.0,6.7957,287500.0
453,-116.97,32.8,15.0,3927.0,1018.0,2204.0,977.0,2.4367,111400.0
455,-116.97,32.79,19.0,4108.0,1101.0,2971.0,1006.0,1.9893,112500.0
462,-116.97,32.74,14.0,7410.0,1344.0,3597.0,1274.0,4.2192,176100.0
463,-116.97,32.65,4.0,16450.0,2833.0,7985.0,2683.0,5.6631,233400.0
465,-116.98,34.13,16.0,2098.0,449.0,342.0,143.0,4.0333,133900.0
467,-116.98,34.05,6.0,2290.0,312.0,957.0,274.0,7.2708,316700.0
471,-116.98,33.83,15.0,2228.0,472.0,653.0,350.0,2.683,139300.0
472,-116.98,33.77,12.0,5829.0,1309.0,2711.0,1118.0,1.9707,107900.0
474,-116.98,32.88,12.0,7320.0,1279.0,4048.0,1249.0,4.3952,151700.0
475,-116.98,32.86,19.0,2121.0,341.0,1236.0,353.0,4.7717,153200.0
476,-116.98,32.86,16.0,7718.0,1423.0,4383.0,1394.0,4.0693,146400.0
477,-116.98,32.85,12.0,3570.0,713.0,3321.0,666.0,4.0882,134500.0
482,-116.98,32.75,18.0,1519.0,369.0,802.0,347.0,2.9886,170800.0
484,-116.98,32.74,16.0,3361.0,537.0,1754.0,578.0,5.1098,162300.0
485,-116.98,32.73,16.0,952.0,143.0,530.0,143.0,5.0864,175300.0
486,-116.98,32.72,4.0,1078.0,158.0,571.0,184.0,4.6667,223300.0
487,-116.98,32.71,18.0,2355.0,444.0,1277.0,433.0,3.4551,121400.0
493,-116.99,33.77,7.0,10352.0,2007.0,3559.0,1689.0,2.2925,113100.0
495,-116.99,33.75,18.0,9601.0,2401.0,4002.0,2106.0,1.4366,77000.0
496,-116.99,33.73,13.0,16148.0,3474.0,6159.0,3232.0,1.9961,97800.0
498,-116.99,32.96,17.0,5509.0,866.0,2748.0,817.0,4.8854,181300.0
502,-116.99,32.81,18.0,10968.0,1521.0,4439.0,1501.0,6.2787,250000.0
508,-116.99,32.74,18.0,3341.0,611.0,1952.0,602.0,3.9844,215300.0
509,-116.99,32.74,17.0,3101.0,547.0,1410.0,486.0,3.1771,189900.0
511,-116.99,32.72,15.0,825.0,130.0,334.0,131.0,4.0391,169500.0
512,-116.99,32.72,14.0,1771.0,301.0,1046.0,284.0,4.775,143300.0
513,-116.99,32.72,13.0,1330.0,216.0,719.0,215.0,3.8295,149600.0
514,-116.99,32.72,11.0,1112.0,164.0,441.0,174.0,4.7679,169500.0
516,-116.99,32.7,15.0,3660.0,622.0,2629.0,612.0,4.0444,150100.0
517,-116.99,32.64,15.0,4331.0,699.0,2046.0,627.0,3.9519,193500.0
519,-117.0,34.87,16.0,6862.0,1292.0,3562.0,1126.0,3.6091,87200.0
520,-117.0,33.74,8.0,5330.0,1529.0,2143.0,1107.0,2.1103,94400.0
521,-117.0,33.29,17.0,2073.0,313.0,573.0,221.0,8.2531,419200.0
522,-117.0,32.87,18.0,11544.0,1979.0,6296.0,1923.0,4.4904,150400.0
529,-117.0,32.74,17.0,2357.0,599.0,1423.0,510.0,1.8856,118800.0
530,-117.0,32.72,10.0,3817.0,943.0,2352.0,875.0,2.1362,143200.0
533,-117.0,32.67,16.0,2238.0,307.0,1002.0,303.0,6.6143,264100.0
534,-117.0,32.64,11.0,3098.0,490.0,1391.0,484.0,4.9792,170400.0
538,-117.01,34.01,15.0,5592.0,891.0,2419.0,840.0,4.7193,135200.0
539,-117.01,33.97,18.0,4775.0,886.0,1868.0,836.0,2.3355,118800.0
540,-117.01,33.04,13.0,4595.0,567.0,1643.0,544.0,7.7684,362300.0
541,-117.01,32.99,8.0,3372.0,430.0,1536.0,448.0,8.4284,378300.0
544,-117.01,32.83,17.0,15401.0,3280.0,7302.0,3176.0,3.3067,121900.0
548,-117.01,32.8,17.0,1558.0,479.0,803.0,431.0,2.6934,160200.0
549,-117.01,32.8,17.0,1042.0,210.0,650.0,215.0,3.1,84200.0
561,-117.01,32.72,12.0,2914.0,734.0,2104.0,703.0,2.3068,132300.0
563,-117.01,32.7,7.0,2327.0,490.0,1304.0,445.0,3.3553,132200.0
565,-117.01,32.67,17.0,2319.0,348.0,1125.0,337.0,5.551,266900.0
566,-117.01,32.66,11.0,9992.0,1368.0,4495.0,1316.0,6.9664,293900.0
567,-117.01,32.63,7.0,6483.0,976.0,3269.0,1005.0,5.7358,221600.0
571,-117.02,34.03,19.0,4415.0,648.0,1627.0,619.0,4.2361,191600.0
572,-117.02,33.95,5.0,1822.0,367.0,798.0,313.0,2.8783,105200.0
573,-117.02,33.81,10.0,6317.0,1335.0,2625.0,1094.0,2.3,108900.0
575,-117.02,33.73,14.0,3700.0,750.0,1171.0,695.0,1.9476,112500.0
576,-117.02,33.71,6.0,8278.0,1579.0,3062.0,1446.0,3.0043,134700.0
577,-117.02,33.6,7.0,1972.0,352.0,964.0,317.0,3.244,337200.0
579,-117.02,32.84,17.0,4013.0,673.0,2263.0,661.0,5.131,148300.0
582,-117.02,32.81,14.0,3173.0,599.0,1451.0,585.0,3.7292,182200.0
589,-117.02,32.76,15.0,1204.0,326.0,543.0,326.0,1.0278,154200.0
592,-117.02,32.74,12.0,3301.0,963.0,2000.0,879.0,1.8594,119200.0
597,-117.02,32.68,14.0,3986.0,675.0,2065.0,702.0,5.7192,267400.0
599,-117.02,32.66,19.0,771.0,103.0,376.0,108.0,6.6272,273600.0
600,-117.02,32.64,5.0,260.0,41.0,157.0,42.0,6.5151,281700.0
601,-117.02,32.59,19.0,1902.0,335.0,1102.0,313.0,3.0365,98100.0
603,-117.03,34.87,7.0,2245.0,407.0,1016.0,364.0,3.9464,101500.0
604,-117.03,34.07,16.0,3784.0,577.0,1615.0,525.0,4.2333,220300.0
606,-117.03,33.89,6.0,78.0,11.0,27.0,10.0,3.125,187500.0
607,-117.03,33.32,14.0,1088.0,209.0,601.0,193.0,3.8438,243800.0
608,-117.03,33.18,17.0,5391.0,886.0,2732.0,830.0,5.1771,212800.0
610,-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,182100.0
611,-117.03,32.82,16.0,1765.0,289.0,743.0,280.0,4.9744,209700.0
612,-117.03,32.8,19.0,3866.0,775.0,1554.0,703.0,4.3281,220000.0
615,-117.03,32.78,17.0,5481.0,1618.0,2957.0,1537.0,2.5707,171300.0
617,-117.03,32.77,19.0,4819.0,1492.0,2572.0,1336.0,2.3393,118200.0
628,-117.03,32.7,19.0,2304.0,572.0,2010.0,556.0,2.2866,109900.0
629,-117.03,32.69,8.0,2460.0,397.0,1784.0,390.0,4.5662,175500.0
630,-117.03,32.69,5.0,3201.0,532.0,2061.0,536.0,5.0829,179400.0
631,-117.03,32.69,10.0,901.0,163.0,698.0,167.0,4.6648,156100.0
632,-117.03,32.67,15.0,5094.0,818.0,2118.0,758.0,5.3505,266600.0
633,-117.03,32.65,14.0,1111.0,142.0,472.0,145.0,7.6344,290500.0
634,-117.03,32.63,14.0,2796.0,476.0,1466.0,464.0,5.2489,213700.0
635,-117.03,32.63,13.0,2087.0,313.0,1165.0,330.0,5.7789,227700.0
643,-117.04,33.15,15.0,13814.0,2888.0,6583.0,2789.0,2.8247,150000.0
644,-117.04,33.09,16.0,4677.0,581.0,1902.0,566.0,6.1834,335600.0
645,-117.04,33.03,16.0,2852.0,435.0,1083.0,448.0,6.3761,296200.0
647,-117.04,32.99,6.0,9518.0,1418.0,4413.0,1275.0,6.6012,314900.0
648,-117.04,32.98,16.0,1332.0,196.0,640.0,193.0,6.0226,192900.0
649,-117.04,32.97,13.0,6711.0,1256.0,3683.0,1220.0,4.5746,175700.0
650,-117.04,32.9,6.0,6525.0,826.0,3146.0,806.0,9.2858,436100.0
651,-117.04,32.83,8.0,2205.0,348.0,777.0,341.0,6.0266,177400.0
652,-117.04,32.81,12.0,2880.0,406.0,1381.0,418.0,6.5412,254200.0
654,-117.04,32.8,11.0,1802.0,440.0,630.0,428.0,2.0337,146700.0
657,-117.04,32.77,16.0,7963.0,1881.0,3769.0,1804.0,2.9624,144700.0
661,-117.04,32.74,5.0,2878.0,785.0,1727.0,758.0,1.7179,132000.0
665,-117.04,32.69,9.0,3417.0,860.0,2521.0,828.0,3.02,158900.0
666,-117.04,32.68,13.0,2132.0,425.0,1345.0,432.0,4.0,89300.0
667,-117.04,32.68,11.0,1875.0,357.0,1014.0,386.0,4.375,115000.0
668,-117.04,32.67,14.0,3464.0,683.0,2139.0,734.0,4.0668,137500.0
670,-117.04,32.65,8.0,8806.0,1401.0,3159.0,1059.0,4.2155,247800.0
671,-117.04,32.64,5.0,2329.0,542.0,1213.0,514.0,4.0298,225600.0
676,-117.04,32.6,18.0,4747.0,846.0,3002.0,872.0,3.9076,152900.0
678,-117.04,32.58,14.0,2355.0,406.0,1883.0,401.0,5.0311,152100.0
679,-117.04,32.55,15.0,2206.0,648.0,2511.0,648.0,1.6348,93200.0
686,-117.05,33.52,5.0,3471.0,530.0,1541.0,502.0,4.8083,347700.0
687,-117.05,33.29,17.0,1800.0,312.0,891.0,281.0,7.0177,267600.0
